,OWNER,NFT,NAME,BATCH,ACTIVE,REP
0,0:efc78159f866bc1756d0ada37ad9cd20ae6d8105e1f8cf3fbf65cae01dfe8302,EQDEIqmoG9LmV9uy7nBOZDtjdRmwZHWYTG8uSMA3PeI_ZUD7EQBQ_5RiQr8CiqXEZpqIP8-FaH3wrKPt_FbnyU0NoA5aHGKWEQBbFIQoTdFntefYT67Vgpo1tSGW4M2lYwG550FoCsTuzStm,TONNEL Relayer #6TONNEL Relayer #26TONNEL Relayer #36,GoldSilverBronze,YesYesYes,8702.763888888774
1,0:2aa6aae4c8d5babc8c06ce04441c2ccb3a6c45c76337169222b813cd34636a8d,EQD9723TzdRAfdVOHGijVZZ7oT9-gu0izN0sdhzfsFPOG3klEQCxm-PlY7d9Y8BZRyGbzAyhZqozSFy1d7OO_l7_5NuHIXw5,TONNEL Relayer #71TONNEL Relayer #77,BronzeGold,YesYes,5735.0
2,0:4da46c2da241e0ec6f6ba3f90f5527904d8d8324e7d8acb1312deb57d9be4834,EQBehg2gp1K7kzZefAuUNrBpR6-g5CJcjohu9YK8q8mC1jBWEQBcn_tV85u6oMdBbyP2npskpI0AyaDqRKBWqv5W61kMjWwYEQD2k9IFWdsav_7hEecr3KTBkcnhnfN4BQpWkcpi-bbCEBheEQA5Iim-rCGt5e5cD21uoSpBSHve0jS6fGALVenshltu0pjyEQAzVeyQ8WKp-sq1wbvpipcpQW-KVineYitWdpgyo9G2sYlKEQCOW3lJHo9FSwPs8rwMe-kn_4RMrP77w5QojqYth2gig2IdEQDBm8ItVSFnMDERk5XtK4FsteKFOqEifnNcddlsbzp6bKS1,TONNEL Relayer #11TONNEL Relayer #16TONNEL Relayer #17TONNEL Relayer #69TONNEL Relayer #377TONNEL Relayer #550TONNEL Relayer #639,SilverSilverSilverBronzeGoldBronzeBronze,YesYesYesYesYesYesYes,5704.834503459506
3,0:f318b9502fa26124af361b3def2a5b8d116176ef13d622755e2c39255e26e088,EQDdpXP8IDrzzx_S0e1i0UULeA3_YprWymOwYJ8fXQXmUj3V,TONNEL Relayer #175,Gold,Yes,3579.166666666668
4,0:cc621c38d599d4d4799eb755d3c0dca1657fd4e8da42d61408abaaf75bc81120,EQDbIe3aj5KP88G9zy069V3w3LfoCxHGAxEpu8i9bYIuhrN2EQC_5g5PihhstbRp_uvcXQUozY9195WoZXN8sxf--IbsuoRl,TONNEL Relayer #18TONNEL Relayer #590,SilverBronze,YesYes,2947.499999999988
5,0:4f873bb33beb249e1350ce4a2545c8337a706d83543dfb9f89cd91f54fcec5a9,EQAyUpHecjmChuydaaeHWtC09HGtQEsWAlZgTyjDIi8eKHBI,TONNEL Relayer #2,Gold,Yes,2185.0
6,0:294962360ec7207281785f7e89d7c452739902b9e51e16fbb7dea1ca167e8128,EQCHcD7fd3xLr-f6U1kAdIJQAYLMlhBrE0Di4r5p970Msp4l,TONNEL Relayer #25,Silver,Yes,1822.5
7,0:a8afbbc6ea08a7053541cd1f3018199a7b99d45fb3571d066421c55f304d8e47,EQCmiP8pUrzn_CVbfbIxVKmQHKpGeARlBVdxPVXGi8-aagqfEQD1DQ90mR83lE2lilPeWOKxQWCmRVjdh9paTTaaUm074FkT,TONNEL Relayer #91TONNEL Relayer #500,BronzeGold,YesYes,1645.0
8,0:ad86cda25bb7c13437ae8f06ad724d4739864828dd22b8737f03a718bf902c52,EQDzbytjK0tRRbRShRwUgj1YVYYTE4o4NNabiD7KMAn91Tkb,TONNEL Relayer #19,Silver,Yes,1475.8333333333337
9,0:68f62690151c2e844e66eb196f16339877949884d7a6b2d9900123d12aca72cb,EQAJBSPIpyUtV3GxnZ1LJ55_0DR-3jnkE-_1iqSCh8hf9To8,TONNEL Relayer #7,Gold,Yes,1422.4999999999998
10,0:101f3ebb2a4db262a22f323ca316915398129e5c66da852ba325064b925e7861,EQA0K_XISnKyU5zJoigFOr0niEalSiGDC9nFaUdmorQ7aZg2,TONNEL Relayer #4,Gold,Yes,1389.9999999999998
11,0:af55e8ef5254486f2db1e39423c5ed9ffe88538bb442bb48538e170070e626de,EQA575SNAYpSmkfZiCsWUICSrm6FrcVURsL6qqWy1z_3l-kyEQBdLTfHcqj3E8fFTymc-QpBkQvRcT4AKqr5hx3xtQKq3JV_EQCxZCuFSVnGXK_tqp7Cu5zWitd-zu7n7RPxW95whUFZOa-AEQDELwKRp0OOZ52_rX1pubHyuC7Q3ieYAca9Bcs3HCE6QkqJEQDlqcS1RJVPqy_nyw-iSjRC3cZOWdPKAYJl2X6FzwirXkbn,TONNEL Relayer #0TONNEL Relayer #1TONNEL Relayer #10TONNEL Relayer #30TONNEL Relayer #665,GoldGoldSilverBronzeBronze,YesYesYesYesYes,1378.7849999999992
12,0:07a50707bd986afb226b7dda3690f67706fc106ad55c16dc4993e867efa24d5c,EQBkPQZHu_CX8ohEWdXs21LZAUP-T66RPnz2BQkQHs1nvGzU,TONNEL Relayer #5,Gold,Yes,1354.285
13,0:f36290fdb60ae51fca40a185e72bdb7ff8854e20ee2bad7c9942bb20750c7dd3,EQBeq4rAZr-z1iS8ymcYqbOoCTJl1nwkDGWbGIUWbr8iIrhg,TONNEL Relayer #9,Gold,Yes,1285.0
14,0:11541b75408a7e98ca8b7e3658f0a711d188319b093a58bbadb3971db1fc3ecf,EQCxtOCJ_Ppj3qgDdyEH1gOWfHdyV7v2R61evBtLHBJ1Uyb4EQD1gKhTgaealUQLL7SF6oSFXttLDLePp-IffdlV-hVAlVXl,TONNEL Relayer #20TONNEL Relayer #575,SilverBronze,YesYes,1240.0
15,0:44096e25b6db5d1293569c9540973c9d9e0701fcc11f99c6672aab5534eccd6b,EQAXFjY--3rxVm7sxvn8ZDC3wv8g-PX3PWvqtD3yupdzuRjOEQCFUUMfylLO6Ak67uBAlR-_OROH6VccU93EcZ_BVRPY8At9EQDMlsy-y0aXxHHhY_ZwlfDiy0f1bSWL52OIYlmNHChUNvz7EQBUsn51gpnoU79wjwk6nVmkOoSnlEOjFeTr36-pqX-lEkKSEQCwPN4BKd8Pbjq8hKLFOoc9TtfbkZ3JZFLSZ-gL2XyK7xjKEQDgXF4vN34UlJAulEXhol3tNx4R0kkutBqxQVcp7dGCE2XsEQD9L6Ajh_-3Za9UsQVRFcijj28Xkj3Rpdt8LafTAzygMl-OEQBQwtbnmHuvskHh-IeYJpRmhlueqBSEc7o_pT29xr0d3bTP,TONNEL Relayer #39TONNEL Relayer #100TONNEL Relayer #119TONNEL Relayer #159TONNEL Relayer #277TONNEL Relayer #499TONNEL Relayer #574TONNEL Relayer #662,BronzeBronzeBronzeBronzeBronzeBronzeBronzeBronze,YesYesYesYesYesYesYesYes,1122.2321428571438
16,0:df4740cc51ce966ba0fd3ec59683dbaf708bdd77a63a593d0b008d7dc6357cfc,EQCibaB-HZGBHfloiIry6pEWRT2iPS25O2ooyBU10aUfzUwuEQDB-m_AFY_WnVTSriFVUBQwt2f-GvCJkywTjHBZwGAwLER4,TONNEL Relayer #3TONNEL Relayer #32,GoldBronze,YesYes,1030.0
17,0:5ee93ccda79e1349e55e45343212e6198668219f7081aced37610988b7ad99da,EQB8-v6vPBb9Kx2-7fFhw3h_mlN0SgwLVxhtTfZ9sgVDWylIEQCxwQN_-V9n74PIZXWZmMu1yHL8IVHmynqsWIbkhFay8lyP,TONNEL Relayer #22TONNEL Relayer #24,SilverSilver,YesYes,985.364
18,0:7b39673f61dfc7b7eb3eeaf69451d084ecd618499492e4a5957b81f599de6014,EQC6MNDv_9rDZxoy2IyYBkYmnTfrgTi9Z9qWUoGL6Fvkyp1X,TONNEL Relayer #35,Bronze,Yes,854.5
