,NFT,OWNER,NAME,BATCH,ACTIVE,REP
0,EQA575SNAYpSmkfZiCsWUICSrm6FrcVURsL6qqWy1z_3l-ky,0:af55e8ef5254486f2db1e39423c5ed9ffe88538bb442bb48538e170070e626de,TONNEL Relayer #0,Gold,Yes,523.7569999999996
1,EQBdLTfHcqj3E8fFTymc-QpBkQvRcT4AKqr5hx3xtQKq3JV_,0:af55e8ef5254486f2db1e39423c5ed9ffe88538bb442bb48538e170070e626de,TONNEL Relayer #1,Gold,Yes,523.7569999999996
2,EQAyUpHecjmChuydaaeHWtC09HGtQEsWAlZgTyjDIi8eKHBI,0:4f873bb33beb249e1350ce4a2545c8337a706d83543dfb9f89cd91f54fcec5a9,TONNEL Relayer #2,Gold,Yes,2260.0
3,EQCibaB-HZGBHfloiIry6pEWRT2iPS25O2ooyBU10aUfzUwu,0:df4740cc51ce966ba0fd3ec59683dbaf708bdd77a63a593d0b008d7dc6357cfc,TONNEL Relayer #3,Gold,Yes,770.0
4,EQA0K_XISnKyU5zJoigFOr0niEalSiGDC9nFaUdmorQ7aZg2,0:101f3ebb2a4db262a22f323ca316915398129e5c66da852ba325064b925e7861,TONNEL Relayer #4,Gold,Yes,1419.9999999999998
5,EQBkPQZHu_CX8ohEWdXs21LZAUP-T66RPnz2BQkQHs1nvGzU,0:07a50707bd986afb226b7dda3690f67706fc106ad55c16dc4993e867efa24d5c,TONNEL Relayer #5,Gold,Yes,1354.285
6,EQDEIqmoG9LmV9uy7nBOZDtjdRmwZHWYTG8uSMA3PeI_ZUD7,0:efc78159f866bc1756d0ada37ad9cd20ae6d8105e1f8cf3fbf65cae01dfe8302,TONNEL Relayer #6,Gold,Yes,4023.7499999999154
7,EQAJBSPIpyUtV3GxnZ1LJ55_0DR-3jnkE-_1iqSCh8hf9To8,0:68f62690151c2e844e66eb196f16339877949884d7a6b2d9900123d12aca72cb,TONNEL Relayer #7,Gold,Yes,1442.4999999999998
8,EQC0X4hBYfvkQQu-I43quq6-M6om8H-orL4yWDHuqCLO1Npq,0:b1f715f0119daa142513c72baf2de5de115eaf653e4355a05781f9706b892d7b,TONNEL Relayer #8,Gold,Yes,590.0
9,EQBeq4rAZr-z1iS8ymcYqbOoCTJl1nwkDGWbGIUWbr8iIrhg,0:f36290fdb60ae51fca40a185e72bdb7ff8854e20ee2bad7c9942bb20750c7dd3,TONNEL Relayer #9,Gold,Yes,1315.0
10,EQCxZCuFSVnGXK_tqp7Cu5zWitd-zu7n7RPxW95whUFZOa-A,0:af55e8ef5254486f2db1e39423c5ed9ffe88538bb442bb48538e170070e626de,TONNEL Relayer #10,Silver,Yes,273.757
11,EQBehg2gp1K7kzZefAuUNrBpR6-g5CJcjohu9YK8q8mC1jBW,0:4da46c2da241e0ec6f6ba3f90f5527904d8d8324e7d8acb1312deb57d9be4834,TONNEL Relayer #11,Silver,Yes,933.857142857138
12,EQClBxKlcrv671BM4fPbATLSf38kPZCedw0iyOCQuYFJhVFf,0:3c1e1ae406bf9a4e6250d88ea8f5ff7b9fd165d1a9bece360044e6548f385462,TONNEL Relayer #12,Silver,Yes,250.0
13,EQDEzDuujb2ua-218UTe7x4bfL9iBjNL9yPmv3lCreVPklxQ,0:c160ab7c5433d49e98339a14ae734b468785bba9c53070b4d922ea6093f9949e,TONNEL Relayer #13,Silver,Yes,280.0
14,EQATtulYZj3dxhyQf5f1_kEyXcEDpBVLJZYdyQ_IU8mzueYQ,0:0000000000000000000000000000000000000000000000000000000000000000,TONNEL Relayer #14,Silver,No,250.0
15,EQAZnCRKd8cNMsqBu7aTFFbv8rdcFc0EoZJaD7n1RsxeXxIi,0:0000000000000000000000000000000000000000000000000000000000000000,TONNEL Relayer #15,Silver,No,250.0
16,EQBcn_tV85u6oMdBbyP2npskpI0AyaDqRKBWqv5W61kMjWwY,0:4da46c2da241e0ec6f6ba3f90f5527904d8d8324e7d8acb1312deb57d9be4834,TONNEL Relayer #16,Silver,Yes,1028.2678571428537
17,EQD2k9IFWdsav_7hEecr3KTBkcnhnfN4BQpWkcpi-bbCEBhe,0:4da46c2da241e0ec6f6ba3f90f5527904d8d8324e7d8acb1312deb57d9be4834,TONNEL Relayer #17,Silver,Yes,1438.9761904762042
18,EQDbIe3aj5KP88G9zy069V3w3LfoCxHGAxEpu8i9bYIuhrN2,0:cc621c38d599d4d4799eb755d3c0dca1657fd4e8da42d61408abaaf75bc81120,TONNEL Relayer #18,Silver,Yes,1644.999999999994
19,EQDzbytjK0tRRbRShRwUgj1YVYYTE4o4NNabiD7KMAn91Tkb,0:ad86cda25bb7c13437ae8f06ad724d4739864828dd22b8737f03a718bf902c52,TONNEL Relayer #19,Silver,Yes,1490.8333333333337
20,EQCxtOCJ_Ppj3qgDdyEH1gOWfHdyV7v2R61evBtLHBJ1Uyb4,0:11541b75408a7e98ca8b7e3658f0a711d188319b093a58bbadb3971db1fc3ecf,TONNEL Relayer #20,Silver,Yes,755.0
21,EQDBh43uk1AArxYLH5cFZzAwt1Kg8LE2sl-3Fa4_5W-M_tnO,0:afe1b432650e51878c5af0c9af5f74d94c3aa859047f79cd79056738de467378,TONNEL Relayer #21,Silver,Yes,385.0
22,EQB8-v6vPBb9Kx2-7fFhw3h_mlN0SgwLVxhtTfZ9sgVDWylI,0:5ee93ccda79e1349e55e45343212e6198668219f7081aced37610988b7ad99da,TONNEL Relayer #22,Silver,Yes,514.307
23,EQBklXVWgNyxKr6ZI2Lvo7kvMceXwRa1qnz8U_6uHnQ6aYgs,0:0000000000000000000000000000000000000000000000000000000000000000,TONNEL Relayer #23,Silver,No,250.0
24,EQCxwQN_-V9n74PIZXWZmMu1yHL8IVHmynqsWIbkhFay8lyP,0:5ee93ccda79e1349e55e45343212e6198668219f7081aced37610988b7ad99da,TONNEL Relayer #24,Silver,Yes,493.057
