,NFT,OWNER
0,EQA575SNAYpSmkfZiCsWUICSrm6FrcVURsL6qqWy1z_3l-ky,0:af55e8ef5254486f2db1e39423c5ed9ffe88538bb442bb48538e170070e626de
1,EQBdLTfHcqj3E8fFTymc-QpBkQvRcT4AKqr5hx3xtQKq3JV_,0:af55e8ef5254486f2db1e39423c5ed9ffe88538bb442bb48538e170070e626de
2,EQAyUpHecjmChuydaaeHWtC09HGtQEsWAlZgTyjDIi8eKHBI,0:4f873bb33beb249e1350ce4a2545c8337a706d83543dfb9f89cd91f54fcec5a9
3,EQCibaB-HZGBHfloiIry6pEWRT2iPS25O2ooyBU10aUfzUwu,0:df4740cc51ce966ba0fd3ec59683dbaf708bdd77a63a593d0b008d7dc6357cfc
4,EQA0K_XISnKyU5zJoigFOr0niEalSiGDC9nFaUdmorQ7aZg2,0:101f3ebb2a4db262a22f323ca316915398129e5c66da852ba325064b925e7861
5,EQBkPQZHu_CX8ohEWdXs21LZAUP-T66RPnz2BQkQHs1nvGzU,0:07a50707bd986afb226b7dda3690f67706fc106ad55c16dc4993e867efa24d5c
6,EQDEIqmoG9LmV9uy7nBOZDtjdRmwZHWYTG8uSMA3PeI_ZUD7,0:efc78159f866bc1756d0ada37ad9cd20ae6d8105e1f8cf3fbf65cae01dfe8302
7,EQAJBSPIpyUtV3GxnZ1LJ55_0DR-3jnkE-_1iqSCh8hf9To8,0:68f62690151c2e844e66eb196f16339877949884d7a6b2d9900123d12aca72cb
8,EQC0X4hBYfvkQQu-I43quq6-M6om8H-orL4yWDHuqCLO1Npq,0:b1f715f0119daa142513c72baf2de5de115eaf653e4355a05781f9706b892d7b
9,EQBeq4rAZr-z1iS8ymcYqbOoCTJl1nwkDGWbGIUWbr8iIrhg,0:f36290fdb60ae51fca40a185e72bdb7ff8854e20ee2bad7c9942bb20750c7dd3
10,EQCxZCuFSVnGXK_tqp7Cu5zWitd-zu7n7RPxW95whUFZOa-A,0:af55e8ef5254486f2db1e39423c5ed9ffe88538bb442bb48538e170070e626de
11,EQBehg2gp1K7kzZefAuUNrBpR6-g5CJcjohu9YK8q8mC1jBW,0:4da46c2da241e0ec6f6ba3f90f5527904d8d8324e7d8acb1312deb57d9be4834
12,EQClBxKlcrv671BM4fPbATLSf38kPZCedw0iyOCQuYFJhVFf,0:3c1e1ae406bf9a4e6250d88ea8f5ff7b9fd165d1a9bece360044e6548f385462
13,EQDEzDuujb2ua-218UTe7x4bfL9iBjNL9yPmv3lCreVPklxQ,0:c160ab7c5433d49e98339a14ae734b468785bba9c53070b4d922ea6093f9949e
14,EQATtulYZj3dxhyQf5f1_kEyXcEDpBVLJZYdyQ_IU8mzueYQ,0:0000000000000000000000000000000000000000000000000000000000000000
15,EQAZnCRKd8cNMsqBu7aTFFbv8rdcFc0EoZJaD7n1RsxeXxIi,0:0000000000000000000000000000000000000000000000000000000000000000
16,EQBcn_tV85u6oMdBbyP2npskpI0AyaDqRKBWqv5W61kMjWwY,0:4da46c2da241e0ec6f6ba3f90f5527904d8d8324e7d8acb1312deb57d9be4834
17,EQD2k9IFWdsav_7hEecr3KTBkcnhnfN4BQpWkcpi-bbCEBhe,0:4da46c2da241e0ec6f6ba3f90f5527904d8d8324e7d8acb1312deb57d9be4834
18,EQDbIe3aj5KP88G9zy069V3w3LfoCxHGAxEpu8i9bYIuhrN2,0:cc621c38d599d4d4799eb755d3c0dca1657fd4e8da42d61408abaaf75bc81120
19,EQDzbytjK0tRRbRShRwUgj1YVYYTE4o4NNabiD7KMAn91Tkb,0:ad86cda25bb7c13437ae8f06ad724d4739864828dd22b8737f03a718bf902c52
20,EQCxtOCJ_Ppj3qgDdyEH1gOWfHdyV7v2R61evBtLHBJ1Uyb4,0:11541b75408a7e98ca8b7e3658f0a711d188319b093a58bbadb3971db1fc3ecf
21,EQDBh43uk1AArxYLH5cFZzAwt1Kg8LE2sl-3Fa4_5W-M_tnO,0:afe1b432650e51878c5af0c9af5f74d94c3aa859047f79cd79056738de467378
22,EQB8-v6vPBb9Kx2-7fFhw3h_mlN0SgwLVxhtTfZ9sgVDWylI,0:5ee93ccda79e1349e55e45343212e6198668219f7081aced37610988b7ad99da
23,EQBklXVWgNyxKr6ZI2Lvo7kvMceXwRa1qnz8U_6uHnQ6aYgs,0:0000000000000000000000000000000000000000000000000000000000000000
24,EQCxwQN_-V9n74PIZXWZmMu1yHL8IVHmynqsWIbkhFay8lyP,0:5ee93ccda79e1349e55e45343212e6198668219f7081aced37610988b7ad99da
25,EQCHcD7fd3xLr-f6U1kAdIJQAYLMlhBrE0Di4r5p970Msp4l,0:294962360ec7207281785f7e89d7c452739902b9e51e16fbb7dea1ca167e8128
26,EQBQ_5RiQr8CiqXEZpqIP8-FaH3wrKPt_FbnyU0NoA5aHGKW,0:efc78159f866bc1756d0ada37ad9cd20ae6d8105e1f8cf3fbf65cae01dfe8302
27,EQDvIS3U8eBIWmVKS_-6kCjBJUIkjiWRY2Qk4py-kjUsrxXa,0:0000000000000000000000000000000000000000000000000000000000000000
28,EQAJ18SjCoFP1jPAU9WIDXIwgSKG4z4IFw8J-eEDxf3sIuwF,0:4174a55b92392d1d34dcc191ed8f2d8aa5f42896ef3c2bd8536025739ca5abcc
29,EQC43_URy_tJS9dvtdBsPjg6COcQjIo05amFlHH2YEox3_jd,0:1afc7b9b6b86ba888520b83f7ae7d6fc6021d6fc2dbe16e2a3293aacca03f234
30,EQDELwKRp0OOZ52_rX1pubHyuC7Q3ieYAca9Bcs3HCE6QkqJ,0:af55e8ef5254486f2db1e39423c5ed9ffe88538bb442bb48538e170070e626de
31,EQCQIgClBn-dKZMFFBt9bPDxNegrgQg6d-FrkMErYA4sgil-,0:4174a55b92392d1d34dcc191ed8f2d8aa5f42896ef3c2bd8536025739ca5abcc
