,NAME,BATCH,ACTIVE,REP
0,TONNEL Relayer #0,Gold,Yes,523.7569999999996
1,TONNEL Relayer #1,Gold,Yes,523.7569999999996
2,TONNEL Relayer #2,Gold,Yes,2245.0
3,TONNEL Relayer #3,Gold,Yes,770.0
4,TONNEL Relayer #4,Gold,Yes,1419.9999999999998
5,TONNEL Relayer #5,Gold,Yes,1354.285
6,TONNEL Relayer #6,Gold,Yes,4000.416666666584
7,TONNEL Relayer #7,Gold,Yes,1442.4999999999998
8,TONNEL Relayer #8,Gold,Yes,590.0
9,TONNEL Relayer #9,Gold,Yes,1310.0
10,TONNEL Relayer #10,Silver,Yes,273.757
11,TONNEL Relayer #11,Silver,Yes,932.857142857138
12,TONNEL Relayer #12,Silver,Yes,250.0
13,TONNEL Relayer #13,Silver,Yes,280.0
14,TONNEL Relayer #14,Silver,No,250.0
15,TONNEL Relayer #15,Silver,No,250.0
16,TONNEL Relayer #16,Silver,Yes,1027.2678571428535
17,TONNEL Relayer #17,Silver,Yes,1437.9761904762042
18,TONNEL Relayer #18,Silver,Yes,1634.999999999994
19,TONNEL Relayer #19,Silver,Yes,1490.8333333333335
20,TONNEL Relayer #20,Silver,Yes,750.0
21,TONNEL Relayer #21,Silver,Yes,385.0
22,TONNEL Relayer #22,Silver,Yes,511.307
23,TONNEL Relayer #23,Silver,No,250.0
24,TONNEL Relayer #24,Silver,Yes,490.057
25,TONNEL Relayer #25,Silver,Yes,1922.5
26,TONNEL Relayer #26,Silver,Yes,1691.930555555585
27,TONNEL Relayer #27,Silver,No,250.0
28,TONNEL Relayer #28,Silver,Yes,432.5
29,TONNEL Relayer #29,Silver,Yes,313.9999999999982
30,TONNEL Relayer #30,Bronze,Yes,28.757000000000005
31,TONNEL Relayer #31,Bronze,Yes,187.5
32,TONNEL Relayer #32,Bronze,Yes,275.0
33,TONNEL Relayer #33,Bronze,Yes,8.333333333333334
34,TONNEL Relayer #34,Bronze,No,5.0
35,TONNEL Relayer #35,Bronze,Yes,884.5
36,TONNEL Relayer #36,Bronze,Yes,3485.416666666584
37,TONNEL Relayer #37,Bronze,No,5.0
38,TONNEL Relayer #38,Bronze,No,5.0
39,TONNEL Relayer #39,Bronze,Yes,94.88095238095222
40,TONNEL Relayer #40,Bronze,No,5.0
41,TONNEL Relayer #41,Bronze,Yes,5.0
42,TONNEL Relayer #42,Bronze,No,5.0
43,TONNEL Relayer #43,Bronze,No,5.0
44,TONNEL Relayer #44,Bronze,Yes,25.0
45,TONNEL Relayer #45,Bronze,Yes,9.533333333333333
46,TONNEL Relayer #46,Bronze,No,5.0
47,TONNEL Relayer #47,Bronze,No,5.0
48,TONNEL Relayer #48,Bronze,No,6.25
49,TONNEL Relayer #49,Bronze,No,157.49999999999994
50,TONNEL Relayer #50,Bronze,Yes,5.0
51,TONNEL Relayer #51,Bronze,No,5.0
52,TONNEL Relayer #52,Bronze,No,21.493506493506498
53,TONNEL Relayer #53,Bronze,No,5.0
54,TONNEL Relayer #54,Bronze,No,5.0
55,TONNEL Relayer #55,Bronze,Yes,7.142857142857143
56,TONNEL Relayer #56,Bronze,Yes,22.976190476190478
57,TONNEL Relayer #57,Bronze,Yes,40.0
58,TONNEL Relayer #58,Bronze,Yes,5.0
59,TONNEL Relayer #59,Bronze,No,7.142857142857143
60,TONNEL Relayer #60,Bronze,Yes,7.4
