,OWNER,NFT,NAME,BATCH,ACTIVE,REP
0,0:0000000000000000000000000000000000000000000000000000000000000000,EQATtulYZj3dxhyQf5f1_kEyXcEDpBVLJZYdyQ_IU8mzueYQEQAZnCRKd8cNMsqBu7aTFFbv8rdcFc0EoZJaD7n1RsxeXxIiEQBklXVWgNyxKr6ZI2Lvo7kvMceXwRa1qnz8U_6uHnQ6aYgsEQDvIS3U8eBIWmVKS_-6kCjBJUIkjiWRY2Qk4py-kjUsrxXaEQB_TythUBQHfNaeuxC4HdGgF4-Nv8y7qRTrEIELiDlJ7bhREQDbMMpqKz1p6wlBvQHqH6tmiH0WCuOVmyq8bGte6EcaPzkcEQDFJgjCsN6nNMSITep3zYkJ7ZOQR5xgvSx7wenRNlRz4dgcEQDa0lcC7z3w9F8MrHDqR9T6C0cUO16WWqOR9yEH6ZPHBh3FEQCMJjiRv7Y0AW0T3RQxMZjateqF9apo29qNVbzQplgdxN4fEQDKbNZVCFHb9_SCDmtfaL4VRVsg4t43pAoSsDEM5dXh-VwUEQBrKcSnhb8huGIor8JPe8-71Tp5-6Vtqm6jBx40udrOn_MNEQBVTzQjApMWiD6gZ7-IwZ-YFoTn446EoljiBsWiHAQS2FsPEQDPJJsPs17_EjU7tZvK5hMcPMBiZQE3_tAQuMRcoztO_s9TEQCmx-WQrPa3lhXk3IauynZxJBnX0X5XkM2yia7j1BtBbfhzEQBAoXr8fYmg3X-o4HmOXEv53eP_8mszzuVArI2RYFFG6eBbEQDNOfN-YOGhMzk9lhXWRzLzjtvuYc3Pabbkn3uNt0O04XZnEQCP83njCr4XwSffJluNMK8ct02zLsAWq4CHekRnJzmAt_zgEQDBb-58LqwRIk66Xb_14cUpPBE0Mq2k7VXUG6lmL2-WtJdZEQCPt8T3Eb3hpIc2H2-HLKyyCzJYSXuaX5Ww5Onqp76j1u2kEQBSIyxwX1GpcCjTGQU9jwhsD7IGJjqnXZVr5YatQhkp2jiWEQA-aG8IjvLS66iPfemV9kcQKZvhHyc8sNyjGmGybgdT6l7yEQB7H9gqZz2Zpc3hQg2gREPqJvs1CkUBBT_1OINWYpou6uFqEQAHbGaASHg53OuaKCUclHDgFjwU_NRr2CAZaQSy0-V_JMVaEQAcJmFGsVUtXk3IpPqnyOKUFMJHL5T-L_qRu3_WIicYdrdYEQAjwbBBEZLmKYKU8v6vZ1pBSZfadzzKedZ-7uiHJqO1Qrt6EQBQphxID4FZAs_W013dGzHVtOhy8p68Na8-p0Hma6LQ65uwEQD1bMbeHksB_ZJEYvDb4xBMSUuiA5eCayMaF-78Q4_ziO2REQDvKjGRlv-f8PSVk5Ku698B18W_YNur43sAcNeciot2WIRgEQCetd41jTXXZUzIqC4DaCzPi5d-zAoLNQC3xxNzBOcLO0d8EQAHEX3LahlWLK51Q5z6UzWkb7n2U4Nuui0YHyRLLZcjCy0bEQB9jkdvk64U-bL3fZ4hUlLaebZY7ET2gdZ4yeVGeNdBCw0TEQCjUPGjlTEEi8GIHOB8xcpMsLAOk4Rl1ccfbhRIiJmkOPKOEQBZosJ_seZccMXt0_xF0q1Vy0o7mPkfx9k2_UaNnB1QIvFWEQBCRgjVzx24J6grVM_0-ZC1WhJ0I9VhymZmRMwcji9Qvbe-EQAOcNbdFFu6Qa395VUYC6vE3iXRVt0QeUDjDdIxVgC-3kVeEQAf3gvd_dFUA46cV6lSb3rwh_UNqQ5qKeBwsJI64hrXRsdrEQCyAFBgJZ3overI1QaRUhLfRjcF6m69eMQ_Y--DfAMrM5R8EQAfjATVIdEhsU6V1Yv0xjHG6W21PfIYkocV2bW7NN-N_7kjEQAPBKBSmpjXSFbhRxPvtztfSDt0sfvVNcxEluRMQHhOHTQwEQCz6XyCY_aKZo0raeAu6oepBScj478-MWV0MpfTZMgjBTh4EQAphAtcacv3fXFfPep9Ik_p_LPMuacyZpcZVponV3_XXOefEQAxNAfdmRJPRTGoY1c9WTpQ3pQ5FxruPxp9Z4_75RNMxepYEQAcSsqyrUqI8fvW1M2BlD84hKaL_YmvR8aDsJTqhJ8nJukFEQAZnmSorGRlnBMtCgugf7AgbYfvPawYn-QOEERcCAsRTD8GEQBHYa2QhZJR7sS1lpoH5HwP91D6x0BzmdTGlFLw8ESRwybNEQAEDa-RdqP5ez_DZUv4dBycegGrl79tkzNxvR9mwiXFply2EQCfC_2afNk6dEgDvbPXrqvWFh4LmQaywaO50yQAD22Cf636EQDS8IVXVUGKklY5f6_OrW-SGEqZT_-bAFyCH57K1YD-8nCxEQCEO4mBTY3Urmp08uHZ7z6jBsrrg1xiEXAQOhtASCB-zHZVEQB7T69HfiMjnAwQqvXi1hvehwD9QW36PLv06jGYhWtCqiHWEQAwN2xuJnG8VeLVY_ds6iyponhzWNvuyruWRKvW2IWJ5NGREQCfhj144pTMH-SaIayKLmbdAGrIDTg5-EhyhAqVG7kcaeXUEQDfLa1gGaz_3tYfGXBG9C0jXKf8ci-h0i26-6pVH7CVmSJYEQCsZ5Dms4hQnYEGd9k285sSKDXSOFGjZ_Pg2piwTdeTwq0EEQC0EddA3ogPzMkSqA5VwfehrcUTrigKkmq580muZYFRK_l9EQBasmQnBDactOZ6L4Jwc-xasDrSBL1Mxb-fPALjSgzelgU7EQABZAC-11GnZvakc7-r3oPb11ltv7iVtg-2PUKSPBt_1VU-EQCDEU78_uJVezH5fpa6UEy7In_Wl8j5dR0siSpdUfiA1sjEEQC4rnIWn-uUFKLyo0jJdUWpnktYJkLpexNh2z1N1YTF17Db,TONNEL Relayer #14TONNEL Relayer #15TONNEL Relayer #23TONNEL Relayer #27TONNEL Relayer #53TONNEL Relayer #81TONNEL Relayer #95TONNEL Relayer #108TONNEL Relayer #132TONNEL Relayer #137TONNEL Relayer #151TONNEL Relayer #162TONNEL Relayer #163TONNEL Relayer #207TONNEL Relayer #215TONNEL Relayer #236TONNEL Relayer #237TONNEL Relayer #247TONNEL Relayer #260TONNEL Relayer #261TONNEL Relayer #266TONNEL Relayer #276TONNEL Relayer #281TONNEL Relayer #284TONNEL Relayer #286TONNEL Relayer #292TONNEL Relayer #299TONNEL Relayer #305TONNEL Relayer #311TONNEL Relayer #317TONNEL Relayer #326TONNEL Relayer #351TONNEL Relayer #356TONNEL Relayer #359TONNEL Relayer #387TONNEL Relayer #394TONNEL Relayer #398TONNEL Relayer #403TONNEL Relayer #405TONNEL Relayer #407TONNEL Relayer #411TONNEL Relayer #418TONNEL Relayer #422TONNEL Relayer #425TONNEL Relayer #433TONNEL Relayer #452TONNEL Relayer #453TONNEL Relayer #476TONNEL Relayer #492TONNEL Relayer #496TONNEL Relayer #498TONNEL Relayer #507TONNEL Relayer #509TONNEL Relayer #517TONNEL Relayer #520TONNEL Relayer #524TONNEL Relayer #537TONNEL Relayer #538TONNEL Relayer #613,SilverSilverSilverSilverBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronze,NoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNo,1277.2
1,0:5ee93ccda79e1349e55e45343212e6198668219f7081aced37610988b7ad99da,EQB_ys2RUtHhFmMpH6OQVoNf1UigQskUsVDG3kWF1pb4qUspEQCfNbrE4MWHS-iG4Ud6vhesY7sikdJaXUn9fOdcgm6L9E_VEQB1WpnpeZZRbBy9sS627HdsCHYLLW8l06JLS_Y-cWhqZ5NO,TONNEL Relayer #197TONNEL Relayer #245TONNEL Relayer #262,BronzeBronzeBronze,NoNoNo,774.921
2,0:1afc7b9b6b86ba888520b83f7ae7d6fc6021d6fc2dbe16e2a3293aacca03f234,EQB9FanMX380BS59mZOPV8x3GQ3zMWawuDd-nYQQNRiyLyozEQBvLI9Q6-PWO79l8yCvN4HcEKxuMY-zTfyvPIrEZnp9AmR8EQDAgy9S54UWZE4yt0W7f1OJS71CJfXvyqzacM8OUVXVQmb-EQARDLKZ_tfUrWh2be7BRgQbbD6wEuzPZoK1JE0kN2vu7klbEQAV94lDYGQ9BiPBlPZ0OlHPaC8EJWV8qrhwYwhtq3LWKYU6EQCtdri1P0aICoJnlyPhXnKSFIYVmYBdnO7_O5xNpAZTfZA9EQA5cmT3g6CLsrBzK0m20OtD1ofRd8yBFYDlpK5jNfGs29tsEQAKo0CWQ1PEP8JutXYR6B56ELYNk9nmOOMY_I3OvNu2TfuGEQAxF3dpKbB4dmf0QN65icySLjuJuJKNjfIhjz6sckB1QvAnEQCcwBpyHfgcTL_LoD7lf0TP7qlguAprQue0E5puEwwgg_XpEQCnpw8MOjyvoGEeQCfUZbwvsHzCqfOh8e_FT5V5Eh-FMhkwEQAp8Kj9Ilj9QPyAKbWbz8FcjSzZQEpmKLBxFCrud0bfVKy4EQD1B-kn8myDrB5w48WCW283qFcW-PfZMya-Yo-G9XTM3XdTEQAdIbmkXhD7Dq421udw4SjB0e5sAa7VKHJtWV19p2EDDv2FEQBFWN3rATZB9ymkJe2ePS6Cq9xTpYuF52wvZ2qzl1Xf8fmcEQAR7W34TezpmLlEBw0x5zzewA0RA-WPBmUb8P6BaUpbqwO3EQCzMTVzmkjz0-tEQewC6FbjfReRUvthaCLo_KkwTvNztqDFEQCBDbdN5Ep6vUffxRK1l5A9AcHPjKE9WL5-WzA3liJ7wZ5MEQDve2nxkd1fhlSw-LQsBBlxxgnO4Bpzu_B-0Vs4uOSnnEudEQB7bDuv8TDaisAxfYwyfkYbmBoOWYYDiPlcY0GyLZ12UzbhEQB00DR0hgq49UqfKJSIkm7Pf1w1R-iCfSpRQjc2_60s1l_JEQCz3yb6CSuHxpMw7TPtmqI8cclJ6DUGNBef20mlRswP_QGvEQAQdWXR7nsEiW4m7u_hxJkOJnfsqDu9A-cn05ej89_2drsfEQDma8I23YsH8pEh1O02B6o_XsXwUXBvvxG0bi_CQu6RwvfLEQAg8kNwHHxOAf1Ve4RW0SGEIYIpgi-qrBJl_T02-b7VhXG9EQDE9lg6ugL0teWrMTpPLAb5_Kq8GM9UVUFmt57tVZCbXI9mEQC17VXZTqxJM8eJbkkpxEbIpqBKHE_tkdHYVlEVlRmrdHBsEQDvbnKR0crKTTuvespV1-PwoBol__VAy_yknNUOFynPnjzgEQBmmCGgf8YOonrXSbhSJoVvTziIzd5NghfnySPhoQ2__rCmEQCowHl2DhdMAzSzdFxE-OvaC977tyafewgxy5SAH28UQTE0,TONNEL Relayer #74TONNEL Relayer #93TONNEL Relayer #116TONNEL Relayer #122TONNEL Relayer #155TONNEL Relayer #208TONNEL Relayer #225TONNEL Relayer #244TONNEL Relayer #263TONNEL Relayer #288TONNEL Relayer #308TONNEL Relayer #323TONNEL Relayer #325TONNEL Relayer #338TONNEL Relayer #340TONNEL Relayer #347TONNEL Relayer #354TONNEL Relayer #362TONNEL Relayer #374TONNEL Relayer #397TONNEL Relayer #400TONNEL Relayer #404TONNEL Relayer #421TONNEL Relayer #442TONNEL Relayer #455TONNEL Relayer #462TONNEL Relayer #470TONNEL Relayer #516TONNEL Relayer #541TONNEL Relayer #583,BronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronze,NoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNo,707.1646825396826
3,0:75d8e0fff774a413601278e0a41ab33a0a23f293003f8a7eb33672a07605ba7b,EQDo8cKl3omUHQ0m2Y05EJ6iyxpQ0WhthtKkm32RnrW_go8A,TONNEL Relayer #259,Bronze,No,440.0
4,0:f90cb820a3e153846bfc7299f593c1901ba8c789d25dd9e8088f80cb9a0cefeb,EQBix-zBWADmfoR6NygYcwVEgMI8R2JatL95i0uJaCMV0_5qEQDzYZZiE331tZvFp0tujN-1Ho-TYK3UwjH3uobjHTtf7RZjEQA4f-M6DyNmvJManv3JTf2APN-xYFKx9ea9A3hFRvHKpTotEQDuB0ZeK4DDLfruJlK_Nik7zKfmPTqop9RJ_SmMSMqAT86kEQDwBGUSdqeVKE2xyJvZyLrqmvap8KoVhf5G8jMLcG6sLIoNEQA_z13CPTdomUpGe4kEg_HLq3Pqgas5kcp3L1VYFa70cS8IEQC0FPx0ApvUBZVR6uZZuisp6tyfAYLC2BMdmWlE1OlaXrazEQD4cTcedefftE_IKZVwmohzTMjIBrUurCouEW8aDrpdxiyAEQAV1nitd3panzOsNi5_hgs-cNS4IzqF4eb_mFWcv0Qv64gvEQBfJSbdrHaBzHvj1IlIC4JwuRxAGkcsKaBWhjGElh1SgT1iEQDwCNJqFXCUJOtbGsH7e6pM-tXUIoGZMXERy5MD7Ior_wjCEQCB7CDgscBNJcM1lXS-hGEzFLXhEOxo4DYmmAGQPvpejZ8VEQAZ3mSCCxo0mzPsS4azYuzFoNwrC45qAHCglL6VFCttOH6UEQBSIpMRpMR-2YykQF0duWFe3HZmgVG5wt3NvES1Lqc0CtSnEQDVwASAIH9WZPzK2isdyYYPC-0ZOhQXM_x_kt-1IkGS7WdqEQDToY7f9G-Op1Ls2FlAqrcC53RpCDIitqQSOuLUhaBt8a9LEQA5udiq90jmELB60aTqKL9yzNV8K6-dIBdyzCc7eRqrqt6MEQC_kxQi56BVvciOqls_3Vmogadtc6r9nXxc6TVknIoNTY6ZEQDEgE5ySnHWQ0rjsSlHFM7GcZlxoUalsUFpN1qQTqL_-qkcEQBTANVyPQ8L6b0kyv4Cg80K-hpgcsXTrSOnZ6cI8dF8KveWEQCv_XHdmwIpC3WgctrUpJGHGxCFUw2gvsv__zolkBRAe5wVEQABCyheAHJTUw1aH-KM_Ib7aNvnCWvtQbKfuBON-4fCplt0EQC_6Vo075Alvox6kZ0k-euicLGUvHae2fokWrA7xSxaALwz,TONNEL Relayer #61TONNEL Relayer #76TONNEL Relayer #86TONNEL Relayer #135TONNEL Relayer #136TONNEL Relayer #156TONNEL Relayer #198TONNEL Relayer #202TONNEL Relayer #230TONNEL Relayer #240TONNEL Relayer #274TONNEL Relayer #282TONNEL Relayer #300TONNEL Relayer #301TONNEL Relayer #313TONNEL Relayer #315TONNEL Relayer #322TONNEL Relayer #378TONNEL Relayer #435TONNEL Relayer #436TONNEL Relayer #487TONNEL Relayer #511TONNEL Relayer #557,BronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronze,NoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNoNo,286.0270655270656
5,0:3b8911886c4075e158ccceff3a1d21d1b041f565d81ccf9317b2b3841b8103a1,EQBp6nIr6KeZHP8MT9a3S2VX81GuexD6iFCI4zHUw0XHWglo,TONNEL Relayer #49,Bronze,No,157.49999999999994
6,0:4c6b80aa3bcb4add20124c101a36076f5faa000777d34f252f6fdbb3c2a774d9,EQCzd7UzcZbBEpXxhUnktAEpmt8XcywcGdPPqfWHlOp7oLEG,TONNEL Relayer #439,Bronze,No,149.5
7,0:ee85e6f835a597a412f0d1aa3db462b56299b8b333997fee1e723b0767fa6c99,EQDa5GgtwdV1W8zTTN13E37xUnoGAaBU3kw0afc1AC9Cs5Ss,TONNEL Relayer #467,Bronze,No,147.0
8,0:fe3de9cd9564ccb5a173b145c4ecb6ece3c5ca60d42069ee63226f44fb5068b5,EQDqiT5m1fXG1CCcM8ZlC_XJJAVPQ_5q6K_W6NaBNW_MyfczEQBwLm9YG7r7YaqSP_s1owcip8bzN28qhf0qjj9aTNfNvg6XEQBe3KbKB33CA727w3Dkncwlqln3GTpHbLXiCKawO5JfloN6EQCpPWr5cbW_KNaSIi2BimWrdXwQV_tvqfMTDpDnplu8eplbEQBtSytYcyaumx_XA9FAJlA47UfhpxmiJ9Oy8LR7GehluoKqEQB0DA8KD9hLDeYtNPpHHp9AHXC1pd6bCgIuax_kX2ieisf1EQDrpW0KVmeN2f6Brc8E_0KbcVcDPgexYGef2bO8RCfB0ZpUEQDTZYtxVLxsNmfIushHeX9-gsgUv3yGDAVldRQF97ZrM2ZnEQC7ceoMIbL60HZGpKSWswStNJLeMQvAjHQopu7teKAW4hOVEQAzTHSsWAuZW1CnAX6vsHG_4eC14I0ea-4REHtK20cJWFCMEQDydRs8a__XqJPq9uj1KRYYg5p3uszNOCQBJzP-SND6tx1ZEQDQm1s2wHn6qVpAnb3-yCJIJo-jWZjQT1tFd0igSIln-BhLEQCn6iVIkvYYGyuUQXJTuhSK1Chc0FAMrgd32LoyA8VL_Y44EQAkeSA0ZHixOSe74ijNSEVj4pC1McYDmbwLaQLJ7s-Aj3C3EQAcM0RsjWxK8i-xXbLm_GYHrkfI_ykKz2n4EwhdddxaWMfr,TONNEL Relayer #154TONNEL Relayer #213TONNEL Relayer #216TONNEL Relayer #243TONNEL Relayer #250TONNEL Relayer #253TONNEL Relayer #289TONNEL Relayer #297TONNEL Relayer #310TONNEL Relayer #336TONNEL Relayer #358TONNEL Relayer #372TONNEL Relayer #471TONNEL Relayer #480TONNEL Relayer #539,BronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronzeBronze,NoNoNoNoNoNoNoNoNoNoNoNoNoNoNo,98.68809523809524
9,0:864e9537f531959084da8cfe20ae8f4bcd92067d3a30bdc545561e1a86ac9f35,EQAMeaIBRL4SwHa4ocQysZ8xnkA29mWULfBspL4bKGNRAcQOEQCL4Qond7DMgwmXsaNi93fBzhOjObArUIhvQuh8NZBFNGrMEQCQAaALijDlrRpMTA1rJaU0URYypeznkxGyFRb9SKCZuoEYEQCdiH-9EDDFt-1RTOLJ5DFnbMUvOmcq4DcW5WIHondYp3tAEQCeRp0NRHyfJGSzMh3NMZ8FP5EY0fIQ0GHpAvBwnoGCEx2m,TONNEL Relayer #160TONNEL Relayer #227TONNEL Relayer #278TONNEL Relayer #528TONNEL Relayer #555,BronzeBronzeBronzeBronzeBronze,NoNoNoNoNo,82.77777777777781
